paper_id,paper_extracted,contract_exists,paper_derived_contract_count,universal_rule_count,invalid_contract_count,status
02922e82,True,True,0,1,1,PAPER_EXTRACTED_BUT_CONTRACT_UNIVERSAL
03255952,True,True,0,2,2,PAPER_EXTRACTED_BUT_CONTRACT_UNIVERSAL
03a374de,False,True,0,1,1,INVALID_CONTRACT
073fb272,True,True,0,1,1,PAPER_EXTRACTED_BUT_CONTRACT_UNIVERSAL
09062f79,False,True,0,1,1,INVALID_CONTRACT
0b8b9b43,False,True,0,1,1,INVALID_CONTRACT
106ad0b9,False,True,0,1,1,INVALID_CONTRACT
120335b4,True,True,0,1,1,PAPER_EXTRACTED_BUT_CONTRACT_UNIVERSAL
183bd763,False,True,0,1,1,INVALID_CONTRACT
1dd22bb4,False,True,0,1,1,INVALID_CONTRACT
1ffbe3cb,False,True,0,1,1,INVALID_CONTRACT
22fbb9d2,False,True,0,1,1,INVALID_CONTRACT
25ee1fd2,False,True,0,1,1,INVALID_CONTRACT
29a1eeb5,True,True,0,3,3,PAPER_EXTRACTED_BUT_CONTRACT_UNIVERSAL
2c296ba3,False,True,0,1,1,INVALID_CONTRACT
34ddeb91,True,True,1,1,0,VALID_PAPER_DERIVED
36c92030,True,True,1,2,0,VALID_PAPER_DERIVED
3bdc7c6f,True,True,1,1,0,VALID_PAPER_DERIVED
3c206242,False,True,0,1,1,INVALID_CONTRACT
3c7fd06f,True,True,0,1,1,PAPER_EXTRACTED_BUT_CONTRACT_UNIVERSAL
3f098eb0,False,True,0,1,1,INVALID_CONTRACT
417ffbee,True,True,0,1,1,PAPER_EXTRACTED_BUT_CONTRACT_UNIVERSAL
41c16fd1,False,True,0,1,1,INVALID_CONTRACT
47339aed,False,True,0,1,1,INVALID_CONTRACT
4b9f947a,False,True,0,1,1,INVALID_CONTRACT
4ddcad80,False,True,0,1,1,INVALID_CONTRACT
51a0c305,True,True,1,1,0,VALID_PAPER_DERIVED
530cb4ff,True,True,0,1,1,PAPER_EXTRACTED_BUT_CONTRACT_UNIVERSAL
55432721,False,True,0,1,1,INVALID_CONTRACT
567e0837,False,True,0,1,1,INVALID_CONTRACT
5a1bb334,True,True,0,1,1,PAPER_EXTRACTED_BUT_CONTRACT_UNIVERSAL
5a92be86,False,True,0,1,1,INVALID_CONTRACT
5cfb9a3a,True,True,0,1,1,PAPER_EXTRACTED_BUT_CONTRACT_UNIVERSAL
61926641,False,True,0,1,1,INVALID_CONTRACT
63197a77,False,True,0,1,1,INVALID_CONTRACT
644c25cf,False,True,0,1,1,INVALID_CONTRACT
66841ab0,True,True,0,1,1,PAPER_EXTRACTED_BUT_CONTRACT_UNIVERSAL
6a50c278,True,True,0,1,1,PAPER_EXTRACTED_BUT_CONTRACT_UNIVERSAL
6b3125af,False,True,0,1,1,INVALID_CONTRACT
71f50403,False,True,0,1,1,INVALID_CONTRACT
743a1998,True,True,0,2,2,PAPER_EXTRACTED_BUT_CONTRACT_UNIVERSAL
77ce66a1,True,True,0,1,1,PAPER_EXTRACTED_BUT_CONTRACT_UNIVERSAL
780371f1,False,True,0,1,1,INVALID_CONTRACT
78911e70,False,True,0,1,1,INVALID_CONTRACT
7a9a3f93,True,True,0,1,1,PAPER_EXTRACTED_BUT_CONTRACT_UNIVERSAL
7c8468c8,False,True,0,1,1,INVALID_CONTRACT
7cd4b3d7,False,True,0,1,1,INVALID_CONTRACT
7e9f9955,False,True,0,1,1,INVALID_CONTRACT
80872023,True,True,0,2,2,PAPER_EXTRACTED_BUT_CONTRACT_UNIVERSAL
810540d2,False,True,0,1,1,INVALID_CONTRACT
84acd23b,True,True,0,1,1,PAPER_EXTRACTED_BUT_CONTRACT_UNIVERSAL
866db454,False,True,0,1,1,INVALID_CONTRACT
881beca2,False,True,0,1,1,INVALID_CONTRACT
8e4dfba9,False,True,0,1,1,INVALID_CONTRACT
8fbac23a,False,True,0,1,1,INVALID_CONTRACT
9069a833,False,True,0,1,1,INVALID_CONTRACT
90c14330,True,True,0,2,2,PAPER_EXTRACTED_BUT_CONTRACT_UNIVERSAL
96d7973b,False,True,0,1,1,INVALID_CONTRACT
9a6bc557,False,True,0,1,1,INVALID_CONTRACT
a17a3073,False,True,0,1,1,INVALID_CONTRACT
a1e977d5,True,True,0,1,1,PAPER_EXTRACTED_BUT_CONTRACT_UNIVERSAL
a6c0db18,False,True,0,1,1,INVALID_CONTRACT
a950db48,True,True,1,1,0,VALID_PAPER_DERIVED
a9deb3ea,False,True,0,1,1,INVALID_CONTRACT
aa357802,False,True,0,1,1,INVALID_CONTRACT
ac9ca85f,False,True,0,1,1,INVALID_CONTRACT
b019c5d8,True,True,0,2,2,PAPER_EXTRACTED_BUT_CONTRACT_UNIVERSAL
b1b5cc6e,True,True,2,1,0,VALID_PAPER_DERIVED
b2baef99,False,True,0,1,1,INVALID_CONTRACT
b55880a0,False,True,0,1,1,INVALID_CONTRACT
b881aa62,False,True,0,1,1,INVALID_CONTRACT
c5dec3b3,False,True,0,1,1,INVALID_CONTRACT
c9a26055,False,True,0,1,1,INVALID_CONTRACT
cb3be166,False,True,0,1,1,INVALID_CONTRACT
cb60217c,False,True,0,1,1,INVALID_CONTRACT
cb60b416,False,True,0,1,1,INVALID_CONTRACT
d1c77c19,True,True,0,2,2,PAPER_EXTRACTED_BUT_CONTRACT_UNIVERSAL
d586de2b,False,True,0,1,1,INVALID_CONTRACT
dfccf929,False,True,0,1,1,INVALID_CONTRACT
e6dfa9fa,False,True,0,1,1,INVALID_CONTRACT
e85ad122,False,True,0,1,1,INVALID_CONTRACT
ec7b02db,False,True,0,1,1,INVALID_CONTRACT
ecc908bc,True,True,0,1,1,PAPER_EXTRACTED_BUT_CONTRACT_UNIVERSAL
ecdd2970,True,True,0,1,1,PAPER_EXTRACTED_BUT_CONTRACT_UNIVERSAL
ef57fd41,True,True,0,1,1,PAPER_EXTRACTED_BUT_CONTRACT_UNIVERSAL
f234a0ee,True,True,0,1,1,PAPER_EXTRACTED_BUT_CONTRACT_UNIVERSAL
f2b47a1a,True,True,1,1,0,VALID_PAPER_DERIVED
f3debb36,False,True,0,1,1,INVALID_CONTRACT
f9a805be,False,True,0,1,1,INVALID_CONTRACT
fbdbe39a,False,True,0,1,1,INVALID_CONTRACT
fec5862c,False,True,0,1,1,INVALID_CONTRACT
ffb14e4c,True,True,0,2,2,PAPER_EXTRACTED_BUT_CONTRACT_UNIVERSAL
