study_id,family,TC_verdict,TC_pair_correct,B0_paper_only_pair_correct,B1_paper_repo_pair_correct,B2_static_auditor_pair_correct,B3_with_config_pair_correct
E01-01,E01,PASS/FAIL,1,0,0,0,0
E01-02,E01,PASS/FAIL,1,0,0,0,0
E01-03,E01,PASS/FAIL,1,0,0,0,0
E01-04,E01,PASS/FAIL,1,0,0,0,0
E01-05,E01,PASS/FAIL,1,0,0,0,0
E02-01,E02,PASS/FAIL,1,0,0,0,0
E02-02,E02,PASS/FAIL,1,0,0,0,0
E02-03,E02,PASS/FAIL,1,0,0,0,0
E02-04,E02,PASS/FAIL,1,0,0,0,0
E02-05,E02,PASS/FAIL,1,0,0,0,0
E03-01,E03,PASS/FAIL,1,0,0,0,0
E03-02,E03,PASS/FAIL,1,0,0,0,0
E03-03,E03,ABSTAIN/FAIL,0,0,0,0,0
E03-04,E03,PASS/PASS,0,0,0,0,0
E03-05,E03,PASS/FAIL,1,0,0,0,0
E04-01,E04,PASS/FAIL,1,0,0,0,0
E04-02,E04,PASS/FAIL,1,0,0,0,0
E04-03,E04,PASS/FAIL,1,0,0,0,0
E04-04,E04,PASS/FAIL,1,0,0,0,0
E04-05,E04,PASS/FAIL,1,0,0,0,0
E05-01,E05,PASS/FAIL,1,0,0,0,0
E05-02,E05,PASS/FAIL,1,0,0,0,0
E05-03,E05,PASS/FAIL,1,0,0,0,0
E05-04,E05,PASS/FAIL,1,0,0,0,0
E05-05,E05,PASS/FAIL,1,0,0,0,0
E06-01,E06,PASS/FAIL,1,0,0,0,0
E06-02,E06,PASS/FAIL,1,0,0,0,0
E06-03,E06,PASS/FAIL,1,0,0,0,0
E06-04,E06,PASS/FAIL,1,0,0,0,0
E06-05,E06,ABSTAIN/FAIL,0,0,0,0,0
