pair_id,family,paper,sec_pair_correct,vps,value_preserving,B0_paper_final_pair_correct,B1_paper_repo_pair_correct,B2_paper_repo_config_pair_correct,B3_provenance_only_pair_correct,B4_result_matching_pair_correct
VB_E01_r1_hard_aug,E01,viewbatchmodel_2503.18371,1,0.0857,True,0,0,0,0,0
VB_E01_r1_none,E01,viewbatchmodel_2503.18371,1,0.2439,False,0,0,0,0,0
VB_E01_r4_hard_aug,E01,viewbatchmodel_2503.18371,1,0.0519,True,0,0,0,0,0
VB_E01_r4_none,E01,viewbatchmodel_2503.18371,1,0.1828,True,0,0,0,0,0
VB_E01_r4_ssl,E01,viewbatchmodel_2503.18371,1,0.1778,True,0,0,0,0,0
RDML_E01_CARS_ArcFace_2,E01,revisitdml_2002.08473,1,0.1832,True,0,0,0,0,0
RDML_E01_CARS_Histogram_3,E01,revisitdml_2002.08473,1,0.2427,True,0,0,0,0,0
RDML_E01_CARS_Margin_b12_Distance,E01,revisitdml_2002.08473,1,0.2747,False,0,0,0,0,0
RDML_E01_CARS_NPair,E01,revisitdml_2002.08473,1,0.2165,True,0,0,0,0,0
RDML_E01_CARS_Quadruplet_Distance,E01,revisitdml_2002.08473,1,0.1599,True,0,0,0,0,0
RDML_E01_CARS_SNR_Distance,E01,revisitdml_2002.08473,1,0.4161,False,0,0,0,0,0
RDML_E01_CARS_SoftTriple_4,E01,revisitdml_2002.08473,1,0.2552,False,0,0,0,0,0
RDML_E01_CARS_Triplet_Distance,E01,revisitdml_2002.08473,1,0.3956,False,0,0,0,0,0
RDML_E01_CARreg_Contrastive,E01,revisitdml_2002.08473,1,0.1537,True,0,0,0,0,0
RDML_E01_CARreg_Margin_b06_Distance,E01,revisitdml_2002.08473,1,0.232,True,0,0,0,0,0
RDML_E01_CARreg_Margin_b12_Distance,E01,revisitdml_2002.08473,1,0.1771,True,0,0,0,0,0
RDML_E01_CARreg_SNR_Distance,E01,revisitdml_2002.08473,1,0.206,True,0,0,0,0,0
RDML_E01_CARreg_Triplet_Distance,E01,revisitdml_2002.08473,1,0.1666,True,0,0,0,0,0
RDML_E01_CUB_ArcFace_2,E01,revisitdml_2002.08473,1,0.4431,False,0,0,0,0,0
RDML_E01_CUB_Histogram_3,E01,revisitdml_2002.08473,1,0.1553,True,0,0,0,0,0
RDML_E01_CUB_NPair,E01,revisitdml_2002.08473,1,0.233,True,0,0,0,0,0
RDML_E01_CUB_SoftTriple_4,E01,revisitdml_2002.08473,1,0.2355,True,0,0,0,0,0
RDML_E01_SOP_Angular,E01,revisitdml_2002.08473,1,0.1314,True,0,0,0,0,0
RDML_E01_SOP_ArcFace,E01,revisitdml_2002.08473,1,0.1664,True,0,0,0,0,0
RDML_E01_SOP_Contrastive,E01,revisitdml_2002.08473,1,0.2276,True,0,0,0,0,0
RDML_E01_SOP_GenLifted,E01,revisitdml_2002.08473,1,0.2015,True,0,0,0,0,0
RDML_E01_SOP_Histogram_1,E01,revisitdml_2002.08473,1,0.1542,True,0,0,0,0,0
RDML_E01_SOP_MS,E01,revisitdml_2002.08473,1,0.0917,True,0,0,0,0,0
RDML_E01_SOP_Margin_b06_Distance,E01,revisitdml_2002.08473,1,0.2259,True,0,0,0,0,0
RDML_E01_SOP_Margin_b12_Distance,E01,revisitdml_2002.08473,1,0.0906,True,0,0,0,0,0
RDML_E01_SOP_Npair,E01,revisitdml_2002.08473,1,0.2463,True,0,0,0,0,0
RDML_E01_SOP_Quadruplet_Distance,E01,revisitdml_2002.08473,1,0.223,True,0,0,0,0,0
RDML_E01_SOP_SNR_Distance,E01,revisitdml_2002.08473,1,0.1793,True,0,0,0,0,0
RDML_E01_SOP_Softmax_3,E01,revisitdml_2002.08473,1,0.2902,False,0,0,0,0,0
RDML_E01_SOP_Triplet_Distance,E01,revisitdml_2002.08473,1,0.1672,True,0,0,0,0,0
RDML_E01_SOP_Triplet_Random_2,E01,revisitdml_2002.08473,1,0.242,True,0,0,0,0,0
RDML_E01_SOP_Triplet_Semihard,E01,revisitdml_2002.08473,1,0.2088,True,0,0,0,0,0
RDML_E01_SOP_Triplet_Softhard,E01,revisitdml_2002.08473,1,0.2378,True,0,0,0,0,0
RDML_E01_SOPreg_Contrastive,E01,revisitdml_2002.08473,1,0.217,True,0,0,0,0,0
RDML_E01_SOPreg_Margin_b06_Distance,E01,revisitdml_2002.08473,1,0.2025,True,0,0,0,0,0
RDML_E01_SOPreg_Margin_b12_Distance,E01,revisitdml_2002.08473,1,0.117,True,0,0,0,0,0
RDML_E01_SOPreg_SNR_Distance,E01,revisitdml_2002.08473,1,0.1102,True,0,0,0,0,0
RDML_E01_SOPreg_Triplet_Distance,E01,revisitdml_2002.08473,1,0.2311,True,0,0,0,0,0
VB_E04_r1_hard_aug,E04,viewbatchmodel_2503.18371,1,0.6496,False,0,0,0,0,0
VB_E04_r1_none,E04,viewbatchmodel_2503.18371,1,0.6362,False,0,0,0,0,0
VB_E04_r4_hard_aug,E04,viewbatchmodel_2503.18371,1,0.6034,False,0,0,0,0,0
VB_E04_r4_none,E04,viewbatchmodel_2503.18371,1,0.633,False,0,0,0,0,0
VB_E04_r4_ssl,E04,viewbatchmodel_2503.18371,1,0.6514,False,0,0,0,0,0
