pair_id,side,family,paper,n_required,n_observed,TOS,qualifies,observed,missing
VB_E01_r1_hard_aug,Tplus,E01,viewbatchmodel_2503.18371,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
VB_E01_r1_hard_aug,Tminus,E01,viewbatchmodel_2503.18371,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
VB_E01_r1_none,Tplus,E01,viewbatchmodel_2503.18371,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
VB_E01_r1_none,Tminus,E01,viewbatchmodel_2503.18371,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
VB_E01_r4_hard_aug,Tplus,E01,viewbatchmodel_2503.18371,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
VB_E01_r4_hard_aug,Tminus,E01,viewbatchmodel_2503.18371,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
VB_E01_r4_none,Tplus,E01,viewbatchmodel_2503.18371,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
VB_E01_r4_none,Tminus,E01,viewbatchmodel_2503.18371,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
VB_E01_r4_ssl,Tplus,E01,viewbatchmodel_2503.18371,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
VB_E01_r4_ssl,Tminus,E01,viewbatchmodel_2503.18371,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CARS_ArcFace_2,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CARS_ArcFace_2,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CARS_Histogram_3,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CARS_Histogram_3,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CARS_Margin_b12_Distance,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CARS_Margin_b12_Distance,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CARS_NPair,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CARS_NPair,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CARS_Quadruplet_Distance,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CARS_Quadruplet_Distance,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CARS_SNR_Distance,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CARS_SNR_Distance,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CARS_SoftTriple_4,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CARS_SoftTriple_4,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CARS_Triplet_Distance,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CARS_Triplet_Distance,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CARreg_Contrastive,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CARreg_Contrastive,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CARreg_Margin_b06_Distance,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CARreg_Margin_b06_Distance,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CARreg_Margin_b12_Distance,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CARreg_Margin_b12_Distance,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CARreg_SNR_Distance,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CARreg_SNR_Distance,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CARreg_Triplet_Distance,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CARreg_Triplet_Distance,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CUB_ArcFace_2,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CUB_ArcFace_2,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CUB_Histogram_3,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CUB_Histogram_3,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CUB_NPair,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CUB_NPair,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CUB_SoftTriple_4,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_CUB_SoftTriple_4,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_Angular,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_Angular,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_ArcFace,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_ArcFace,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_Contrastive,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_Contrastive,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_GenLifted,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_GenLifted,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_Histogram_1,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_Histogram_1,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_MS,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_MS,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_Margin_b06_Distance,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_Margin_b06_Distance,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_Margin_b12_Distance,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_Margin_b12_Distance,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_Npair,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_Npair,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_Quadruplet_Distance,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_Quadruplet_Distance,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_SNR_Distance,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_SNR_Distance,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_Softmax_3,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_Softmax_3,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_Triplet_Distance,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_Triplet_Distance,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_Triplet_Random_2,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_Triplet_Random_2,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_Triplet_Semihard,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_Triplet_Semihard,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_Triplet_Softhard,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOP_Triplet_Softhard,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOPreg_Contrastive,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOPreg_Contrastive,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOPreg_Margin_b06_Distance,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOPreg_Margin_b06_Distance,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOPreg_Margin_b12_Distance,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOPreg_Margin_b12_Distance,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOPreg_SNR_Distance,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOPreg_SNR_Distance,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOPreg_Triplet_Distance,Tplus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
RDML_E01_SOPreg_Triplet_Distance,Tminus,E01,revisitdml_2002.08473,4,4,1.0,True,protocol.declared_seeds|protocol.aggregation_inputs|outputs.reported_value|protocol.aggregation_rule,
VB_E04_r1_hard_aug,Tplus,E04,viewbatchmodel_2503.18371,3,3,1.0,True,protocol.declared_subgroups|protocol.reported_subgroups|outputs.reported_value,
VB_E04_r1_hard_aug,Tminus,E04,viewbatchmodel_2503.18371,3,3,1.0,True,protocol.declared_subgroups|protocol.reported_subgroups|outputs.reported_value,
VB_E04_r1_none,Tplus,E04,viewbatchmodel_2503.18371,3,3,1.0,True,protocol.declared_subgroups|protocol.reported_subgroups|outputs.reported_value,
VB_E04_r1_none,Tminus,E04,viewbatchmodel_2503.18371,3,3,1.0,True,protocol.declared_subgroups|protocol.reported_subgroups|outputs.reported_value,
VB_E04_r4_hard_aug,Tplus,E04,viewbatchmodel_2503.18371,3,3,1.0,True,protocol.declared_subgroups|protocol.reported_subgroups|outputs.reported_value,
VB_E04_r4_hard_aug,Tminus,E04,viewbatchmodel_2503.18371,3,3,1.0,True,protocol.declared_subgroups|protocol.reported_subgroups|outputs.reported_value,
VB_E04_r4_none,Tplus,E04,viewbatchmodel_2503.18371,3,3,1.0,True,protocol.declared_subgroups|protocol.reported_subgroups|outputs.reported_value,
VB_E04_r4_none,Tminus,E04,viewbatchmodel_2503.18371,3,3,1.0,True,protocol.declared_subgroups|protocol.reported_subgroups|outputs.reported_value,
VB_E04_r4_ssl,Tplus,E04,viewbatchmodel_2503.18371,3,3,1.0,True,protocol.declared_subgroups|protocol.reported_subgroups|outputs.reported_value,
VB_E04_r4_ssl,Tminus,E04,viewbatchmodel_2503.18371,3,3,1.0,True,protocol.declared_subgroups|protocol.reported_subgroups|outputs.reported_value,
