pair_id,family,paper,vps,abs_diff_expected,value_preserving,sec_invalid_verdict,detected
VB_E01_r1_hard_aug,E01,viewbatchmodel_2503.18371,0.0857,,True,FAIL,1
VB_E01_r4_hard_aug,E01,viewbatchmodel_2503.18371,0.0519,,True,FAIL,1
VB_E01_r4_none,E01,viewbatchmodel_2503.18371,0.1828,,True,FAIL,1
VB_E01_r4_ssl,E01,viewbatchmodel_2503.18371,0.1778,,True,FAIL,1
RDML_E01_CARS_ArcFace_2,E01,revisitdml_2002.08473,0.1832,,True,FAIL,1
RDML_E01_CARS_Histogram_3,E01,revisitdml_2002.08473,0.2427,,True,FAIL,1
RDML_E01_CARS_NPair,E01,revisitdml_2002.08473,0.2165,,True,FAIL,1
RDML_E01_CARS_Quadruplet_Distance,E01,revisitdml_2002.08473,0.1599,,True,FAIL,1
RDML_E01_CARreg_Contrastive,E01,revisitdml_2002.08473,0.1537,,True,FAIL,1
RDML_E01_CARreg_Margin_b06_Distance,E01,revisitdml_2002.08473,0.232,,True,FAIL,1
RDML_E01_CARreg_Margin_b12_Distance,E01,revisitdml_2002.08473,0.1771,,True,FAIL,1
RDML_E01_CARreg_SNR_Distance,E01,revisitdml_2002.08473,0.206,,True,FAIL,1
RDML_E01_CARreg_Triplet_Distance,E01,revisitdml_2002.08473,0.1666,,True,FAIL,1
RDML_E01_CUB_Histogram_3,E01,revisitdml_2002.08473,0.1553,,True,FAIL,1
RDML_E01_CUB_NPair,E01,revisitdml_2002.08473,0.233,,True,FAIL,1
RDML_E01_CUB_SoftTriple_4,E01,revisitdml_2002.08473,0.2355,,True,FAIL,1
RDML_E01_SOP_Angular,E01,revisitdml_2002.08473,0.1314,,True,FAIL,1
RDML_E01_SOP_ArcFace,E01,revisitdml_2002.08473,0.1664,,True,FAIL,1
RDML_E01_SOP_Contrastive,E01,revisitdml_2002.08473,0.2276,,True,FAIL,1
RDML_E01_SOP_GenLifted,E01,revisitdml_2002.08473,0.2015,,True,FAIL,1
RDML_E01_SOP_Histogram_1,E01,revisitdml_2002.08473,0.1542,,True,FAIL,1
RDML_E01_SOP_MS,E01,revisitdml_2002.08473,0.0917,,True,FAIL,1
RDML_E01_SOP_Margin_b06_Distance,E01,revisitdml_2002.08473,0.2259,,True,FAIL,1
RDML_E01_SOP_Margin_b12_Distance,E01,revisitdml_2002.08473,0.0906,,True,FAIL,1
RDML_E01_SOP_Npair,E01,revisitdml_2002.08473,0.2463,,True,FAIL,1
RDML_E01_SOP_Quadruplet_Distance,E01,revisitdml_2002.08473,0.223,,True,FAIL,1
RDML_E01_SOP_SNR_Distance,E01,revisitdml_2002.08473,0.1793,,True,FAIL,1
RDML_E01_SOP_Triplet_Distance,E01,revisitdml_2002.08473,0.1672,,True,FAIL,1
RDML_E01_SOP_Triplet_Random_2,E01,revisitdml_2002.08473,0.242,,True,FAIL,1
RDML_E01_SOP_Triplet_Semihard,E01,revisitdml_2002.08473,0.2088,,True,FAIL,1
RDML_E01_SOP_Triplet_Softhard,E01,revisitdml_2002.08473,0.2378,,True,FAIL,1
RDML_E01_SOPreg_Contrastive,E01,revisitdml_2002.08473,0.217,,True,FAIL,1
RDML_E01_SOPreg_Margin_b06_Distance,E01,revisitdml_2002.08473,0.2025,,True,FAIL,1
RDML_E01_SOPreg_Margin_b12_Distance,E01,revisitdml_2002.08473,0.117,,True,FAIL,1
RDML_E01_SOPreg_SNR_Distance,E01,revisitdml_2002.08473,0.1102,,True,FAIL,1
RDML_E01_SOPreg_Triplet_Distance,E01,revisitdml_2002.08473,0.2311,,True,FAIL,1
