pair_id,family,paper,sec_pair_correct,vps,value_preserving,B0_paper_final_pair_correct,B1_paper_repo_pair_correct,B2_paper_repo_config_pair_correct,B3_provenance_only_pair_correct,B4_result_matching_pair_correct
DS_E01_dual_inpainting,E01,diffusing_synth_2411.10164,1,0.1474,True,0,0,0,0,0
DS_E01_img2img,E01,diffusing_synth_2411.10164,1,0.1513,True,0,0,0,0,0
DS_E01_one_stage_no_table,E01,diffusing_synth_2411.10164,1,0.1875,True,0,0,0,0,0
DS_E01_prompts_blip,E01,diffusing_synth_2411.10164,1,0.1598,True,0,0,0,0,0
DS_E01_prompts_classname,E01,diffusing_synth_2411.10164,1,0.346,False,0,0,0,0,0
DS_E01_prompts_gemini,E01,diffusing_synth_2411.10164,1,0.3108,False,0,0,0,0,0
DS_E01_random,E01,diffusing_synth_2411.10164,1,0.2309,False,0,0,0,0,0
DS_E01_random_no_table,E01,diffusing_synth_2411.10164,1,0.3041,False,0,0,0,0,0
DS_E01_real,E01,diffusing_synth_2411.10164,1,0.1376,True,0,0,0,0,0
DS_E01_scale,E01,diffusing_synth_2411.10164,1,0.2745,False,0,0,0,0,0
DS_E01_three_stage,E01,diffusing_synth_2411.10164,1,0.3056,False,0,0,0,0,0
DS_E01_two_stage,E01,diffusing_synth_2411.10164,1,0.3168,False,0,0,0,0,0
DS_E01_unknown,E01,diffusing_synth_2411.10164,1,0.2983,False,0,0,0,0,0
DS_E04_dual_inpainting,E04,diffusing_synth_2411.10164,1,0.6726,False,0,0,0,0,0
DS_E04_img2img,E04,diffusing_synth_2411.10164,1,0.6738,False,0,0,0,0,0
DS_E04_one_stage_no_table,E04,diffusing_synth_2411.10164,1,0.6842,False,0,0,0,0,0
DS_E04_prompts_blip,E04,diffusing_synth_2411.10164,1,0.6764,False,0,0,0,0,0
DS_E04_prompts_classname,E04,diffusing_synth_2411.10164,1,0.7071,False,0,0,0,0,0
DS_E04_prompts_gemini,E04,diffusing_synth_2411.10164,1,0.7054,False,0,0,0,0,0
DS_E04_random,E04,diffusing_synth_2411.10164,1,0.6942,False,0,0,0,0,0
DS_E04_random_no_table,E04,diffusing_synth_2411.10164,1,0.7049,False,0,0,0,0,0
DS_E04_real,E04,diffusing_synth_2411.10164,1,0.6695,False,0,0,0,0,0
DS_E04_scale,E04,diffusing_synth_2411.10164,1,0.7016,False,0,0,0,0,0
DS_E04_three_stage,E04,diffusing_synth_2411.10164,1,0.705,False,0,0,0,0,0
DS_E04_two_stage,E04,diffusing_synth_2411.10164,1,0.7059,False,0,0,0,0,0
DS_E04_unknown,E04,diffusing_synth_2411.10164,1,0.7044,False,0,0,0,0,0
DS_E06_DATASET_ASYM,E06,diffusing_synth_2411.10164,1,0.0,True,0,0,0,0,0
DA_E06_220M,E06,delta_attention_2605.18855,1,0.0,True,0,0,0,0,0
DA_E06_533M,E06,delta_attention_2605.18855,1,0.0,True,0,0,0,0,0
DA_E06_1044M,E06,delta_attention_2605.18855,1,0.0,True,0,0,0,0,0
DA_E06_220M,E06,delta_attention_2605.18855,1,0.0,True,0,0,0,0,0
DA_E06_533M,E06,delta_attention_2605.18855,1,0.0,True,0,0,0,0,0
