pair_id,family,required,observed,TOS
DA_E06_1044M,E06,3,3,1.0
DA_E06_220M,E06,3,3,1.0
DA_E06_533M,E06,3,3,1.0
DS_E01_dual_inpainting,E01,3,3,1.0
DS_E01_img2img,E01,3,3,1.0
DS_E01_one_stage_no_table,E01,3,3,1.0
DS_E01_prompts_blip,E01,3,3,1.0
DS_E01_prompts_classname,E01,3,3,1.0
DS_E01_prompts_gemini,E01,3,3,1.0
DS_E01_random_no_table,E01,3,3,1.0
DS_E01_random,E01,3,3,1.0
DS_E01_real,E01,3,3,1.0
DS_E01_scale,E01,3,3,1.0
DS_E01_three_stage,E01,3,3,1.0
DS_E01_two_stage,E01,3,3,1.0
DS_E01_unknown,E01,3,3,1.0
DS_E04_dual_inpainting,E04,3,3,1.0
DS_E04_img2img,E04,3,3,1.0
DS_E04_one_stage_no_table,E04,3,3,1.0
DS_E04_prompts_blip,E04,3,3,1.0
DS_E04_prompts_classname,E04,3,3,1.0
DS_E04_prompts_gemini,E04,3,3,1.0
DS_E04_random_no_table,E04,3,3,1.0
DS_E04_random,E04,3,3,1.0
DS_E04_real,E04,3,3,1.0
DS_E04_scale,E04,3,3,1.0
DS_E04_three_stage,E04,3,3,1.0
DS_E04_two_stage,E04,3,3,1.0
DS_E04_unknown,E04,3,3,1.0
DS_E06_DATASET_ASYM,E06,3,1,0.3333333333333333
